year,registered_voters,turnout,percent_turnout,valid_vote,ak_parti,anadolu_partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc_parti,hadep,hakpar,hap,has_parti,hdp,hepar,hkp,hp,huda_par,hyp,idp,ip,iyi_parti,kp,ldp,mcp,mdp,mep,mhp,millet_partisi,mmp,odp,rp,saadet_partisi,shp,sip,sp,tkp,turk_parti,vatan_partisi,ydh,ydp,yeni_parti,ytp,yurtp,city,ap,birlik_partisi,cgp,ckmp,cmp,demokratik_parti,gp,hurriyet_partisi,msp,tbp,tip,vp,ytp_,prev_year,winner,prev_winner,nationalist,right_wing,left_wing,political_islam,kurdish,liberal,socialist,soc_democ,populist,nat_prev,right_wing_prev,left_wing_prev,political_islam_prev,kurdish_prev,liberal_prev,socialist_prev,social_democ_prev,populist_prev,swing,saadet partisi,vatan partisi,ak parti,iyi parti,bgmz,bdp,millet partisi,sbp,bagimsizlar,baskanlik sayisi,genc parti,huda par,a.p.,turk parti,myp,BAĞIMSIZLAR_vote,bagimsizlar_percent,ANAP_vote,anap_percent,DSP_vote,dsp_percent,DYP_vote,dyp_percent,IDP_vote,idp_percent,MÇP_vote,mcp_percent,RP_vote,rp_percent,SHP_vote,shp_percent
1983,19767366.0,18238362.0,92.3,17351510.0,,,7833148.0,,,,,,,,,,,,,,,,,,,,,,,5285804.0,,,,,,,,,4036970.0,,,,,,,,,,,,,,,,,,,turkiye,,,,,,,,,,,,,,1977,anap,chp,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,21207303.0,15358210.0,72.4,14827172.0,,,,,,,,6136171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951544.0,,,,,,,,,,,,,,,,,turkiye,5468202.0,,277713.0,,,274484.0,,,1269918.0,58540.0,20565.0,,,1973,chp,chp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,16798164.0,11223843.0,66.8,10723658.0,,,,,,,,3570583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362208.0,62377.0,,,,,,,,,,,,,,,,turkiye,3197897.0,,564343.0,,,1275502.0,,,1265771.0,121759.0,,,,1969,chp,ap,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,14788552.0,9516035.0,64.3,9086296.0,,,,,,,,2487006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275091.0,292961.0,,,,,,,,,,,,,,,,turkiye,4229712.0,254695.0,,,,,597818.0,,,,243631.0,,197929.0,1965,ap,ap,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,13679753.0,9748678.0,71.3,9307563.0,,,,,,,,2675785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582704.0,,,,,,,,,,,,,,,,turkiye,4921235.0,,,208696.0,,,,,,,276101.0,,346514.0,1961,ap,chp,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,12925395.0,10522716.0,81.4,10138035.0,,,,,,,,3724752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turkiye,3527435.0,,,1415390.0,,,,,,,,,1391934.0,1957,chp,dp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,12078623.0,9250949.0,76.6,,,,,,,,,3825267.0,,,,4497811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turkiye,,,,,604087.0,,,321471.0,,,,463.0,,1954,dp,dp,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,10262063.0,9095617.0,88.6,,,,,,,,,3193471.0,,,,5313659.0,,,,,,,,,,,,,,,,,,910.0,,50935.0,,,,,,,,,,,,,,,,,,,,,,turkiye,,,,,480249.0,,,,,,,,,1950,dp,dp,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,8905743.0,7953085.0,89.3,,,,,,,,,3148626.0,,,,4391694.0,,,,,,,,,,,,,,,,,,,,,,,,,,368537.0,,,,,,,,,,,,,,,,turkiye,,,,,,,,,,,,,,,dp,chp,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1535332.0,1279796.0,0.8335630339236074,1223105.0,,,,,,,3161.0,656704.0,,,,0.0,6298.0,,,,,,,,,,0.0,,,,,,,,,,,,,,523751.0,,,,,,,,,2529.0,,,,,,,,adana,,,,,,,,,,,,,,2014.0,chp,mhp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23214.0,5764.0,0.0,0.0,1684.0,,,,,,,,,,,,,,,,,,,,,,,,,,
