year,city,registered_voters,turnout,percent_turnout,valid_vote,ak parti,anadolu partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc parti,hadep,hakpar,hap,has parti,hdp,hepar,hkp,hp,huda par,hyp,idp,ip,iyi parti,kp,ldp,mcp,mdp,mep,mhp,millet partisi,mmp,odp,rp,saadet partisi,shp,sip,sp,tkp,turk parti,vatan partisi,ydh,ydp,yeni parti,ytp,yurtp,bgmz,not .  milletvekili genel seciminde  milletvekili secilmistir. ancak istanbul'dan secilen mhp milletvekillerinden bir milletvekilinin olumu nedeniyle meclis'te bulunan milletvekili sayisi  olmustur.,milletvekili sayisi,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp 
1961,maras,169620.0,130717.0,77.1,124655.0,,,,,,,,48694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453.0,,6.0,65069.0,,,7514.0,,,,,,,,,2456.0
1957,maras,153085.0,109985.0,71.9,,,,,,,,,49252.0,,,,45890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,13922.0,,,,,,,,
1954,maras,133897.0,120534.0,90.0,,,,,,,,,43501.0,,,,65777.0,,,,,,,,,,,,,,,,,,,,5498.0,,,,,,,,,,,,,,,,,,,,,,1210.0,,7.0,,,,,3781.0,,,,,,,,
1950,maras,114547.0,101407.0,88.5,,,,,,,,,39045.0,,,,52823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26121.0,,7.0,,,,,,,,,,,,,
1977,diyarbakir,290056.0,192885.0,66.5,186651.0,,,,,,,,64991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.0,,,,,,,,,,,,,,,,,31824.0,,7.0,48694.0,,876.0,,,2102.0,,,33324.0,,2805.0,,
1973,diyarbakir,232364.0,154645.0,66.5,148667.0,,,,,,,,45264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4496.0,,,,,,,,,,,,,,,,,14059.0,,7.0,30822.0,,8294.0,,,18176.0,,,27566.0,,,,
1969,diyarbakir,201474.0,126097.0,62.5,121003.0,,,,,,,,8825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.0,9592.0,,,,,,,,,,,,,,,,19801.0,,7.0,42934.0,,,,,,3654.0,,,,3330.0,,31947.0
1965,diyarbakir,181066.0,116391.0,64.3,110756.0,,,,,,,,25695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867.0,,,,,,,,,,,,,,,,12993.0,,7.0,31936.0,,,3799.0,,,,,,,8867.0,,25599.0
1961,diyarbakir,166637.0,126841.0,76.1,121653.0,,,,,,,,39857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,23401.0,,,6331.0,,,,,,,,,52012.0
1957,diyarbakir,168692.0,114471.0,66.1,,,,,,,,,33820.0,,,,56309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,900.0,,,22466.0,,,,,
1954,diyarbakir,132535.0,122955.0,92.8,,,,,,,,,42333.0,,,,72907.0,,,,,,,,,,,,,,,,,,,,3389.0,,,,,,,,,,,,,,,,,,,,,,673.0,,8.0,,,,,,,,,,,,,
1950,diyarbakir,114487.0,103246.0,90.2,,,,,,,,,48000.0,,,,53691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
1977,bursa,596667.0,443892.0,74.4,431418.0,,,,,,,,158364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12660.0,,,,,,,,,,,,,,,,,188.0,,11.0,223157.0,,5740.0,,,6560.0,,,23640.0,,1109.0,,
1973,bursa,470147.0,312841.0,66.5,300693.0,,,,,,,,84257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4093.0,1608.0,,,,,,,,,,,,,,,,378.0,,11.0,152367.0,,6517.0,,,23078.0,,,28395.0,,,,
1969,bursa,406469.0,266725.0,65.6,254524.0,,,,,,,,63515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7261.0,3488.0,,,,,,,,,,,,,,,,852.0,,11.0,163706.0,,,,,,8986.0,,,,5382.0,,1334.0
1965,bursa,386518.0,289574.0,74.9,276386.0,,,,,,,,63891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589.0,,,,,,,,,,,,,,,,833.0,,11.0,189515.0,,,5014.0,,,,,,,6019.0,,2525.0
1961,bursa,365573.0,310750.0,85.0,298678.0,,,,,,,,87410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,188362.0,,,16792.0,,,,,,,,,6114.0
1957,bursa,338026.0,270653.0,80.1,,,,,,,,,78061.0,,,,156590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,,15.0,,,,,14345.0,,,20296.0,,,,,
1954,bursa,294004.0,255470.0,86.9,,,,,,,,,76363.0,,,,158361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336.0,,14.0,,,,,15724.0,,,,,,,,
1950,bursa,257205.0,237121.0,92.2,,,,,,,,,97532.0,,,,138445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
1977,van,151349.0,121488.0,80.3,116448.0,,,,,,,,22569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3282.0,,,,,,,,,,,,,,,,,33677.0,,4.0,17943.0,,13776.0,,,1403.0,,,23798.0,,,,
1973,van,126766.0,100975.0,79.6,97303.0,,,,,,,,10027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.0,,,,,,,,,,,,,,,,,5840.0,,4.0,21750.0,,50924.0,,,1344.0,,,6779.0,,,,
1969,van,109600.0,84642.0,77.2,81608.0,,,,,,,,8477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7694.0,,,,,,,,,,,,,,,,,13086.0,,4.0,22232.0,,,,,,19276.0,,,,952.0,,9891.0
1965,van,94473.0,74740.0,79.1,71438.0,,,,,,,,32276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.0,,4.0,21585.0,,,,,,,,,,1869.0,,14067.0
1961,van,80998.0,66577.0,82.2,64233.0,,,,,,,,20963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5085.0,,,13757.0,,,,,,,,,24428.0
1957,van,65756.0,53563.0,81.5,,,,,,,,,29950.0,,,,22266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,632.0,,,,,,,,
1954,van,59219.0,55080.0,92.9,,,,,,,,,18507.0,,,,33637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
1950,van,51500.0,45417.0,88.2,,,,,,,,,20653.0,,,,16785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10374.0,,3.0,,,,,,,,,,,,,
1977,adana,673430.0,462806.0,68.7,452072.0,,,,,,,,210026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51146.0,,,,,,,,,,,,,,,,,434.0,,14.0,144709.0,,4965.0,,,8932.0,,,28490.0,2554.0,816.0,,
1973,adana,471331.0,334512.0,70.9,321422.0,,,,,,,,128076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26077.0,,,,,,,,,,,,,,,,,9650.0,,13.0,74264.0,,12595.0,,,40627.0,,,26270.0,3863.0,,,
1969,adana,380236.0,261196.0,68.6,250323.0,,,,,,,,84335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21641.0,1740.0,,,,,,,,,,,,,,,,4270.0,,13.0,106443.0,9015.0,,,,,16570.0,,,,5247.0,,1062.0
1965,adana,335055.0,258342.0,77.1,248008.0,,,,,,,,88229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8628.0,,,,,,,,,,,,,,,,442.0,,12.0,133799.0,,,5695.0,,,,,,,7926.0,,3289.0
1961,adana,298069.0,253053.0,84.9,246341.0,,,,,,,,108161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687.0,,12.0,126365.0,,,10347.0,,,,,,,,,
1957,adana,298849.0,228037.0,76.3,,,,,,,,,125040.0,,,,96197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,4897.0,,,695.0,,,,,
1954,adana,238293.0,222000.0,93.2,,,,,,,,,99741.0,,,,107447.0,,,,,,,,,,,,,,,,,,,,8178.0,,,,,,,,,,,,,,,,,,,,,,316.0,,13.0,,,,,2618.0,,,,,,,,
1950,adana,195544.0,174969.0,89.5,,,,,,,,,77189.0,,,,91178.0,,,,,,,,,,,,,,,,,,,,,,,,,,3515.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
2018,mardin,470545.0,395732.0,84.1,385281.0,120854.0,,,,,,,13153.0,,,,,,,,,,,,,,,235722.0,,,,8268.0,,,,4483.0,,,,,,10429.0,,,,,3278.0,,,,,,673.0,,,,,,350.0,,,,,,,,,,,,,,,
1 Kasım 2015,mardin,445041.0,385111.0,86.5,377967.0,113670.0,,,,1068.0,,111.0,6800.0,,,,107.0,53.0,,125.0,,,,,367.0,,,260283.0,,245.0,,,,,,,307.0,472.0,,,,3703.0,24.0,,,,863.0,,,,,,99.0,,,,,,102.0,,,,,,,,,,,,,,,
7 Haziran 2015,mardin,441076.0,385065.0,87.3,378023.0,76999.0,168.0,,,,,951.0,5239.0,,,,125.0,296.0,,11.0,,,,,514.0,5.0,,278691.0,,292.0,,,,,,,63.0,4.0,,,2.0,4998.0,53.0,,,,2082.0,,,,,7.0,294.0,,,,,1.0,15952.0,,,,,,,,,,,,,,,
2011,mardin,397634.0,327620.0,82.4,320954.0,103402.0,,,,2842.0,,,11953.0,,,,845.0,658.0,,0.0,0.0,,,,,,2097.0,,0.0,,,,,,,,,129.0,,,,2041.0,234.0,240.0,,,895.0,,,,474.0,,,,,,,,195581.0,,,,,,,,,,,,,,,
2007,mardin,312022.0,244095.0,78.2,239332.0,105905.0,,,,,,1208.0,16639.0,,,,13443.0,,,,,,2526.0,,,,,,,,,,603.0,,161.0,,,,,,,3202.0,,,,,2947.0,,,,537.0,,,,,,,,93201.0,,,,,,,,,,,,,,,
2002,mardin,312132.0,231836.0,74.3,224439.0,34746.0,,19853.0,,681.0,,612.0,26151.0,,89113.0,,,1023.0,,18509.0,,,3475.0,,,,,,,,,,,,179.0,,,104.0,,,,6241.0,246.0,,281.0,,3565.0,,,,147.0,,,,,,633.0,583.0,18978.0,,,,,,,,,,,,,,,
1999,mardin,274887.0,231476.0,84.2,219533.0,,,36140.0,,1770.0,512.0,,6295.0,421.0,,,840.0,19847.0,1788.0,42254.0,164.0,25966.0,,55538.0,,,,,,,,,,,198.0,,,400.0,,,,4242.0,366.0,,608.0,,,,205.0,,,,,,561.0,,,,21729.0,,,,,,,,,,,,,,,
1995,mardin,219819.0,176475.0,80.3,169118.0,,,37784.0,,,,,7695.0,,,,,2962.0,,33475.0,,,,37233.0,,,,,,,,,,,267.0,,,,,,,9213.0,941.0,,,33970.0,,,,,,,,1362.0,750.0,272.0,,,3715.0,,,,,,,,,,,,,,,
1991,mardin,217154.0,177554.0,81.8,172119.0,,,31836.0,,,,,,,,,,2247.0,,29577.0,,,,,,,,,,,,,,,,,,,,,,,,,,15069.0,,92904.0,,805.0,,,,,,,,,,,,,,,,,,,,,,,,
1987,mardin,236295.0,221002.0,93.5,211633.0,,,59043.0,,,,,,,,,,11125.0,,45120.0,,,,,,,,,,,,,,1115.0,,,,,932.0,,,,,,,35972.0,,58750.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,mardin,156240.0,137084.0,87.7,129452.0,,,51547.0,,,,,,,,,,,,,,,,,,,,,,,30650.0,,,,,,,,,43465.0,,,,,,,,,,,,,,,,,,,3790.0,,,,,,,,,,,,,,,
2018,sakarya,705270.0,637350.0,90.4,625866.0,375397.0,,,,,,,88486.0,,,,,,,,,,,,,,,17403.0,,,,880.0,,,,60586.0,,,,,,88022.0,,,,,13240.0,,,,,,1232.0,,,,,,0.0,,,,,,,,,,,,,,,
1 Kasım 2015,sakarya,668443.0,598561.0,89.5,590288.0,408200.0,,,,3486.0,,636.0,93485.0,,,,952.0,348.0,,271.0,,,,,1556.0,,,12889.0,,1113.0,,,,,,,775.0,336.0,,,,73431.0,244.0,,,,7942.0,,,,,,917.0,,,,,,0.0,,,,,,,,,,,,,,,
7 Haziran 2015,sakarya,662886.0,583515.0,88.0,571935.0,330588.0,324.0,,,,,1201.0,93008.0,,,,1005.0,1320.0,,16.0,,,,,1089.0,187.0,,17451.0,,687.0,,,,,,,133.0,524.0,,,392.0,112350.0,189.0,,,,22651.0,,,,,11.0,1032.0,,,,,387.0,591.0,,,,,,,,,,,,,,,
2011,sakarya,617284.0,550883.0,89.2,541580.0,334823.0,,,,2144.0,,,88043.0,,,,3237.0,1127.0,,1152.0,835.0,,,,,,9206.0,,1547.0,,,,,,,,,231.0,,,,81515.0,375.0,510.0,,,14619.0,,,,514.0,,,,,,,,3450.0,,,,,,,,,,,,,,,
2007,sakarya,561191.0,480212.0,85.6,472850.0,253033.0,,,,,,2350.0,43939.0,,,,29262.0,,,,838.0,,55254.0,,,,,,,,,,2174.0,,1383.0,,,709.0,,,,54198.0,,,689.0,,29444.0,,,,633.0,,,,,,,,2220.0,,,,,,,,,,,,,,,
2002,sakarya,523213.0,438268.0,83.8,430167.0,189246.0,,15586.0,,3268.0,,2575.0,29668.0,,7313.0,,,2946.0,,26581.0,,,108822.0,,,,,,,,,,,,1624.0,,,775.0,,,,20866.0,635.0,,776.0,,14748.0,,,,633.0,,,,,,1821.0,3770.0,,,,,,,,,,,,,,,,
1999,sakarya,486022.0,435408.0,89.6,417957.0,,,57894.0,,4768.0,866.0,,18072.0,,,501.0,1481.0,80960.0,1563.0,64035.0,524.0,102052.0,,6168.0,,,,,,,,,,,664.0,,,1815.0,,,,73813.0,1018.0,,1592.0,,,,484.0,,,,,,592.0,,,,20.0,,,,,,,,,,,,,,,
1995,sakarya,456343.0,400328.0,87.7,391314.0,,,97195.0,,,,,17918.0,,,,,54301.0,,76604.0,,,,4852.0,,,,,,,,,,,631.0,,,,,,,23909.0,2432.0,,,110867.0,,,,,,,,1883.0,1340.0,590.0,,,,,,,,,,,,,,,,,,
1991,sakarya,408296.0,351289.0,86.0,340731.0,,,88244.0,,,,,,,,,,42006.0,,95728.0,,,,,,,,,,,,,,,,,,,,,,,,,,79380.0,,34339.0,,1333.0,,,,,,,,,333.0,,,,,,,,,,,,,,,
1987,sakarya,356457.0,329134.0,92.3,321543.0,,,111400.0,,,,,,,,,,32732.0,,86136.0,,,,,,,,,,,,,,2101.0,,,,,9442.0,,,,,,,34127.0,,46059.0,,,,,,,,,,,190.0,,,,,,,,,,,,,,,
1983,sakarya,265691.0,249337.0,93.8,239171.0,,,118301.0,,,,,,,,,,,,,,,,,,,,,,,66256.0,,,,,,,,,54614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,maras,738677.0,661140.0,89.5,648790.0,391098.0,,,,,,,65348.0,,,,,,,,,,,,,,,25730.0,,,,1556.0,,,,64494.0,,,,,,109216.0,,,,,10060.0,,,,,,1377.0,,,,,,0.0,,,,,,,,,,,,,,,
1 Kasım 2015,maras,700210.0,609748.0,87.1,601490.0,441137.0,,,,5298.0,,702.0,60034.0,,,,715.0,162.0,,216.0,,,,,26.0,,,23475.0,,1372.0,,,,,,,979.0,204.0,,,,78929.0,207.0,,,,3923.0,,,,,,712.0,,,,,,0.0,,,,,,,,,,,,,,,
7 Haziran 2015,maras,696315.0,590412.0,84.8,578192.0,359608.0,231.0,,,,,1313.0,51412.0,,,,859.0,1223.0,,517.0,,,,,20.0,8.0,,32457.0,,1432.0,,,,,,,86.0,6.0,,,472.0,116527.0,194.0,,,,21293.0,,,,,2848.0,760.0,,,,,2.0,270.0,,,,,,,,,,,,,,,
2011,maras,656579.0,569385.0,86.7,561588.0,391986.0,,,,11103.0,,,64584.0,,,,2941.0,629.0,,850.0,578.0,,,,,,5239.0,,769.0,,,,,,,,,0.0,,,,73151.0,261.0,524.0,,,7374.0,,,,414.0,,,,,,,,3031.0,,,,,,,,,,,,,,,
2007,maras,573974.0,473530.0,82.5,466520.0,319534.0,,,,,,2889.0,46209.0,,,,20805.0,,,,,,3217.0,,,,,,,,,,2593.0,,1455.0,,,,,,,58226.0,,,584.0,,6848.0,,,,1195.0,,,,,,,,6323.0,,,,,,,,,,,,,,,
2002,maras,541615.0,407824.0,75.3,400127.0,216388.0,,19298.0,,8967.0,,1596.0,45123.0,,12830.0,,,3983.0,,36163.0,,,8695.0,,,,,,,,,,,,1493.0,,,514.0,,,,34456.0,791.0,,478.0,,6774.0,,,,380.0,,,,,,2474.0,1174.0,,,,,,,,,,,,,,,,
1999,maras,494971.0,431151.0,87.1,414418.0,,,38579.0,,15906.0,1453.0,,33067.0,,,523.0,,24742.0,1298.0,73134.0,560.0,95807.0,,7300.0,,,,,,,,,,,962.0,,,1139.0,,,,117042.0,1359.0,,1126.0,,,,495.0,,,,,,708.0,,,,67.0,,,,,,,,,,,,,,,
1995,maras,451436.0,372483.0,82.5,363735.0,,,72368.0,,,,,33813.0,,,,,9792.0,,60434.0,,,,9813.0,,,,,,,,,,,703.0,,,,,,,38253.0,1800.0,,,134331.0,,,,,,,,1074.0,1242.0,431.0,,,804.0,,,,,,,,,,,,,,,
1991,maras,406535.0,329027.0,80.9,320272.0,,,59336.0,,,,,,,,,,6317.0,,82684.0,,,,,,,,,,,,,,,,,,,,,,,,,,110637.0,,60468.0,,1424.0,,,,,,,,,,,,,,,,,,,,,,,,
1987,maras,339031.0,316793.0,93.4,309491.0,,,91362.0,,,,,,,,,,10028.0,,70072.0,,,,,,,,,,,,,,2320.0,,,,,31009.0,,,,,,,42829.0,,62491.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,maras,243005.0,220584.0,90.8,210635.0,,,102698.0,,,,,,,,,,,,,,,,,,,,,,,51626.0,,,,,,,,,53204.0,,,,,,,,,,,,,,,,,,,3107.0,,,,,,,,,,,,,,,
2018,diyarbakir,1023389.0,856317.0,83.7,826242.0,182763.0,,,,,,,21306.0,,,,,,,,,,,,,,,558601.0,,,,32.0,,,,23860.0,,,,,,11981.0,,,,,14303.0,,,,,,1223.0,,,,,,37755.0,,,,,,,,,,,,,,,
1 Kasım 2015,diyarbakir,958170.0,814937.0,85.1,791401.0,181456.0,,,,2777.0,,515.0,15921.0,,,,315.0,222.0,,8.0,,,,,1304.0,,,580294.0,,2119.0,,,,,,,798.0,28.0,,,,6520.0,218.0,,,,2200.0,,,,,,311.0,,,,,,18237.0,,,,,,,,,,,,,,,
7 Haziran 2015,diyarbakir,949859.0,825403.0,86.9,805652.0,122031.0,330.0,,,,,1473.0,10830.0,,,,379.0,629.0,,23.0,,,,,1912.0,11.0,,640689.0,,1024.0,,,,,,,127.0,8.0,,,5.0,10213.0,197.0,,,,4160.0,,,,,1688.0,627.0,,,,,3.0,27887.0,,,,,,,,,,,,,,,
2011,diyarbakir,867711.0,705091.0,81.3,678459.0,218552.0,,,,6999.0,,,15882.0,,,,1985.0,1271.0,,705.0,0.0,,,,,,3454.0,,0.0,,,,,,,,,0.0,,,,5733.0,741.0,571.0,,,2941.0,,,,1435.0,,,,,,,,419095.0,,,,,,,,,,,,,,,
2007,diyarbakir,675192.0,479617.0,71.0,465708.0,191214.0,,,,,,1649.0,9407.0,,,,24381.0,,,,,,1434.0,,,,,,,,,,2690.0,,614.0,,,,,,,11431.0,,,518.0,,3248.0,,,,1131.0,,,,,,,,219779.0,,,,,,,,,,,,,,,
2002,diyarbakir,615103.0,437595.0,71.1,420430.0,67298.0,,17056.0,,2784.0,,1215.0,24963.0,,236689.0,,,4829.0,,30330.0,,,7323.0,,,,,,,,,,,,696.0,,,614.0,,,,6415.0,1017.0,,791.0,,9691.0,,,,490.0,,,,,,1865.0,1903.0,5711.0,,,,,,,,,,,,,,,
1999,diyarbakir,546722.0,434201.0,79.4,406455.0,,,45307.0,,4162.0,2136.0,,12273.0,1922.0,,753.0,3790.0,20265.0,7419.0,45527.0,552.0,59310.0,,186808.0,,,,,,,,,,,781.0,,,1121.0,,,,11217.0,1306.0,,,,,,729.0,,,,,,1090.0,,,,565.0,,,,,,,,,,,,,,,
1995,diyarbakir,449962.0,342820.0,76.2,328973.0,,,45612.0,,,,,6501.0,,,,,8643.0,,35754.0,,,,152803.0,,,,,,,,,,,731.0,,,,,,,6443.0,1746.0,,,62049.0,,,,,,,,5188.0,2344.0,555.0,,,1620.0,,,,,,,,,,,,,,,
1991,diyarbakir,406477.0,315964.0,77.7,300114.0,,,42068.0,,,,,,,,,,7779.0,,60053.0,,,,,,,,,,,,,,,,,,,,,,,,,,36238.0,,149955.0,,1619.0,,,,,,,,,2959.0,,,,,,,,,,,,,,,
1987,diyarbakir,342646.0,311979.0,91.0,297399.0,,,68333.0,,,,,,,,,,27898.0,,39597.0,,,,,,,,,,,,,,1956.0,,,,,2028.0,,,,,,,72925.0,,76074.0,,,,,,,,,,,9185.0,,,,,,,,,,,,,,,
1983,diyarbakir,239802.0,198232.0,82.7,179019.0,,,58557.0,,,,,,,,,,,,,,,,,,,,,,,75217.0,,,,,,,,,45245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,bursa,2147723.0,1930043.0,89.9,1893395.0,901530.0,,,,,,,443393.0,,,,,,,,,,,,,,,111030.0,,,,4500.0,,,,243015.0,,,,,,209461.0,,,,,33490.0,,,,,,4717.0,,,,,,885.0,,,,,,,,,,,,,,,
1 Kasım 2015,bursa,2045485.0,1829943.0,89.5,1808112.0,1003822.0,,,,9953.0,,2339.0,490316.0,,,,3694.0,1527.0,,18.0,,,,,4666.0,,,83684.0,,3034.0,,,,,,,1663.0,1237.0,,,,227426.0,1009.0,,,,18896.0,,,,,,4407.0,,,,,,327.0,,,,,,,,,,,,,,,
7 Haziran 2015,bursa,2028417.0,1783055.0,87.9,1750164.0,787698.0,1131.0,,,,,4268.0,496215.0,,,,3860.0,3831.0,,1826.0,,,,,3315.0,23.0,,104711.0,,2094.0,,,,,,,488.0,1564.0,,,972.0,313117.0,835.0,,,,56789.0,,,,,34.0,6364.0,,,,,554.0,872.0,,,,,,,,,,,,,,,
2011,bursa,1876748.0,1678968.0,89.5,1647463.0,875380.0,,,,9597.0,,,412887.0,,,,14545.0,4888.0,,3692.0,0.0,,,,,,15145.0,,10867.0,,,,,,,,,781.0,,,,238137.0,3271.0,1674.0,,,32619.0,,,,1861.0,,,,,,,,27284.0,,,,,,,,,,,,,,,
2007,bursa,1515111.0,1344846.0,88.8,1304381.0,666531.0,,,,,,8627.0,241856.0,,,,73878.0,,,,,,48948.0,,,,,,,,,,7332.0,,4537.0,,,2598.0,,,,188252.0,,,2433.0,,51679.0,,,,2462.0,,,,,,,,14183.0,,,,,,,,,,,,,,,
2002,bursa,1487412.0,1186482.0,79.8,1132057.0,469280.0,,55334.0,,6819.0,,7122.0,173299.0,,23869.0,,,15061.0,,130414.0,,,98740.0,,,,,,,,,,,,4436.0,,,5711.0,,,,73717.0,2331.0,,3213.0,,33273.0,,,,1733.0,,,,,,14093.0,16251.0,1448.0,,,,,,,,,,,,,,,
1999,bursa,1289774.0,1160134.0,89.9,1113043.0,,,178397.0,,7656.0,1764.0,,42420.0,,,1437.0,2861.0,357441.0,6878.0,142708.0,1408.0,171450.0,,19174.0,,,,,,,,,,,1485.0,,,5507.0,,,,161872.0,2444.0,,7352.0,,,,968.0,,,,,,1418.0,,,,897.0,,,,,,,,,,,,,,,
1995,bursa,1159716.0,1032937.0,89.1,994072.0,,,215920.0,,,,,58353.0,,,,,210010.0,,244831.0,,,,13667.0,,,,,,,,,,,1709.0,,,,,,,54079.0,3422.0,,,187077.0,,,,,,,,3183.0,2852.0,1224.0,,,815.0,,,,,,,,,,,,,,,
1991,bursa,938145.0,835287.0,89.0,813129.0,,,226286.0,,,,,,,,,,119355.0,,254366.0,,,,,,,,,,,,,,,,,,,,,,,,,,110819.0,,100341.0,,3066.0,,,,,,,,,404.0,,,,,,,,,,,,,,,
1987,bursa,829040.0,792940.0,95.6,766952.0,,,282998.0,,,,,,,,,,68223.0,,200149.0,,,,,,,,,,,,,,5642.0,,,,,13044.0,,,,,,,48396.0,,148504.0,,,,,,,,,,,1533.0,,,,,,,,,,,,,,,
1983,bursa,625323.0,594327.0,95.0,566481.0,,,268736.0,,,,,,,,,,,,,,,,,,,,,,,150912.0,,,,,,,,,146833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,van,637867.0,529789.0,83.1,511859.0,167667.0,,,,,,,13914.0,,,,,,,,,,,,,,,313017.0,,,,4773.0,,,,6720.0,,,,,,16245.0,,,,,4208.0,,,,,,850.0,,,,,,314.0,,,,,,,,,,,,,,,
1 Kasım 2015,van,599698.0,486467.0,81.1,474252.0,149796.0,,,,2292.0,,306.0,9095.0,,,,230.0,205.0,,358.0,,,,,886.0,,,313177.0,,1760.0,,,,,,,385.0,17.0,,,,6351.0,68.0,,,,2198.0,,,,,,220.0,,,,,,0.0,,,,,,,,,,,,,,,
7 Haziran 2015,van,596809.0,504243.0,84.5,492582.0,101153.0,234.0,,,,,863.0,6804.0,,,,218.0,462.0,,14.0,,,,,933.0,6.0,,370829.0,,804.0,,,,,,,109.0,5.0,,,3.0,14382.0,137.0,,,,3470.0,,,,,10.0,254.0,,,,,2.0,3260.0,,,,,,,,,,,,,,,
2011,van,547016.0,440289.0,80.5,426031.0,171753.0,,,,5383.0,,,16044.0,,,,1852.0,1269.0,,0.0,0.0,,,,,,1764.0,,0.0,,,,,,,,,500.0,,,,12737.0,362.0,451.0,,,1981.0,,,,1540.0,,,,,,,,211131.0,,,,,,,,,,,,,,,
2007,van,414936.0,313087.0,75.5,305138.0,163193.0,,,,,,2491.0,12445.0,,,,8410.0,,,,,,1873.0,,,,,,,,,,1806.0,,1158.0,,,,,,,9933.0,,,,,3996.0,,,,1386.0,,,,,,,,99973.0,,,,,,,,,,,,,,,
2002,van,359562.0,267840.0,74.5,257475.0,66797.0,,11570.0,,3352.0,,1791.0,13307.0,,105520.0,,,3765.0,,16743.0,,,5578.0,,,,,,,,,,,,787.0,,,477.0,,,,8297.0,745.0,,556.0,,9064.0,,,,362.0,,,,,,2323.0,1352.0,5901.0,,,,,,,,,,,,,,,
1999,van,320254.0,259777.0,81.1,244106.0,,,23868.0,,5213.0,1482.0,,12416.0,670.0,,431.0,,10084.0,1058.0,27055.0,273.0,46126.0,,87307.0,,,,,,,,,,,380.0,,,700.0,,,,19659.0,1597.0,,703.0,,,,453.0,,,,,,701.0,,,,4316.0,,,,,,,,,,,,,,,
1995,van,278384.0,226520.0,81.4,217300.0,,,36173.0,,,,,5093.0,,,,,4437.0,,21662.0,,,,61006.0,,,,,,,,,,,483.0,,,,,,,15555.0,2119.0,,,51755.0,,,,,,,,5907.0,1110.0,480.0,,,12191.0,,,,,,,,,,,,,,,
1991,van,232622.0,198268.0,85.2,191180.0,,,50305.0,,,,,,,,,,3379.0,,50793.0,,,,,,,,,,,,,,,,,,,,,,,,,,43098.0,,42694.0,,1197.0,,,,,,,,,69.0,,,,,,,,,,,,,,,
