year,city,registered_voters,turnout,percent_turnout,valid_vote,ak parti,anadolu partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc parti,hadep,hakpar,hap,has parti,hdp,hepar,hkp,hp,huda par,hyp,idp,ip,iyi parti,kp,ldp,mcp,mdp,mep,mhp,millet partisi,mmp,odp,rp,saadet partisi,shp,sip,sp,tkp,turk parti,vatan partisi,ydh,ydp,yeni parti,ytp,yurtp,bgmz,not .  milletvekili genel seciminde  milletvekili secilmistir. ancak istanbul'dan secilen mhp milletvekillerinden bir milletvekilinin olumu nedeniyle meclis'te bulunan milletvekili sayisi  olmustur.,milletvekili sayisi,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp 
1995,urfa,444468.0,364441.0,82.0,350647.0,,,60090.0,,,,,7926.0,,,,,6822.0,,88071.0,,,,48265.0,,,,,,,,,,,421.0,,,,,,,13138.0,1979.0,,,92095.0,,,,,,,,1843.0,1015.0,426.0,,,29640.0,,,,,,,,,,,,,,,
1991,urfa,366685.0,294917.0,80.4,286597.0,,,76270.0,,,,,,,,,,7598.0,,89984.0,,,,,,,,,,,,,,,,,,,,,,,,,,52953.0,,59365.0,,959.0,,,,,,,,,,,,,,,,,,,,,,,,
1987,urfa,311110.0,286568.0,92.1,270303.0,,,97597.0,,,,,,,,,,18421.0,,50104.0,,,,,,,,,,,,,,1651.0,,,,,2721.0,,,,,,,32237.0,,40509.0,,,,,,,,,,,27605.0,,,,,,,,,,,,,,,
1983,urfa,207257.0,170397.0,82.2,158707.0,,,54678.0,,,,,,,,,,,,,,,,,,,,,,,43747.0,,,,,,,,,60282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,istanbul,10559686.0,9304207.0,88.1,9155118.0,4029418.0,,,,,,,2498564.0,,,,,,,,,,,,,,,1195523.0,,,,16956.0,,,,755397.0,,,,,,779942.0,,,,,139870.0,,,,,,18843.0,,,,,,4080.0,,,,,,,,,,,,,,,
1 Kasım 2015,istanbul,10312538.0,9093756.0,88.2,8989092.0,4521325.0,,,,36615.0,,7615.0,2777219.0,,,,5005.0,5170.0,,88.0,,,,,18528.0,,,949951.0,,9256.0,,,,,,,9473.0,7765.0,,,,790248.0,2425.0,,,,69177.0,,,,,,24826.0,,,,,,2510.0,,,,,,,,,,,,,,,
7 Haziran 2015,istanbul,10231703.0,8832058.0,86.3,8295578.0,3489402.0,4568.0,,,,,15303.0,2473160.0,,,,4674.0,12290.0,,3668.0,,,,,7164.0,109.0,,1069665.0,,7224.0,,,,,,,3528.0,4467.0,,,3039.0,936272.0,1757.0,,,,180712.0,,,,,15361.0,36101.0,,,,,1755.0,216830.0,,,,,,,,,,,,,,,
2011,istanbul,9397323.0,8132340.0,86.5,7936607.0,3931210.0,,,,50023.0,,,2492910.0,,,,33122.0,19489.0,,2759.0,0.0,,,,,,57399.0,,32740.0,,,,,,,,,3364.0,,,,747666.0,14831.0,4321.0,,,129030.0,,,,16626.0,,,,,,,,425417.0,,,,,,,,,,,,,,,
2007,istanbul,7406297.0,6072068.0,82.0,5729858.0,2604343.0,,,17272.0,,,22081.0,1556518.0,,,,177186.0,,,,,,217089.0,,,,,,,,,,22389.0,,18471.0,,,3106.0,,,,602093.0,,,,,175213.0,,,,12418.0,,,,,,,,338548.0,,,,,,,,,,,,,,,
2002,istanbul,7159151.0,5419062.0,75.7,5205166.0,1943776.0,,238777.0,,41359.0,,25602.0,1257330.0,,287953.0,,,59842.0,,189373.0,,,429475.0,,,,,,,,,,,,31552.0,,,21006.0,,,,263208.0,5664.0,,20735.0,,197795.0,,,,13251.0,,,,,,103071.0,92293.0,2964.0,,,,,,,,,,,,,,,
