year,registered_voter,turnout,percent_turnout,valid_vote,num_milletvekili,toplam_gecerli_oy_sayisi,milletvekili_sayisi,ak_partitotal_votes,ak_partipercent_votes,anadolu_partisitotal_votes,anadolu_partisipercent_votes,anaptotal_votes,anappercent_votes,atptotal_votes,atppercent_votes,bbptotal_votes,bbppercent_votes,bptotal_votes,bppercent_votes,btptotal_votes,btppercent_votes,chptotal_votes,chppercent_votes,dbptotal_votes,dbppercent_votes,dehaptotal_votes,dehappercent_votes,departotal_votes,deparpercent_votes,dptotal_votes,dppercent_votes,dsptotal_votes,dsppercent_votes,dtptotal_votes,dtppercent_votes,dyptotal_votes,dyppercent_votes,emeptotal_votes,emeppercent_votes,fptotal_votes,fppercent_votes,genc_partitotal_votes,genc_partipercent_votes,hadeptotal_votes,hadeppercent_votes,hakpartotal_votes,hakparpercent_votes,haptotal_votes,happercent_votes,has_partitotal_votes,has_partipercent_votes,hdptotal_votes,hdppercent_votes,hepartotal_votes,heparpercent_votes,hkptotal_votes,hkppercent_votes,hptotal_votes,hppercent_votes,huda_partotal_votes,huda_parpercent_votes,hyptotal_votes,hyppercent_votes,idptotal_votes,idppercent_votes,iptotal_votes,ippercent_votes,iyi_partitotal_votes,iyi_partipercent_votes,kptotal_votes,kppercent_votes,ldptotal_votes,ldppercent_votes,mcptotal_votes,mcppercent_votes,mdptotal_votes,mdppercent_votes,meptotal_votes,meppercent_votes,mhptotal_votes,mhppercent_votes,millet_partisitotal_votes,millet_partisipercent_votes,mmptotal_votes,mmppercent_votes,odptotal_votes,odppercent_votes,rptotal_votes,rppercent_votes,saadet_partisitotal_votes,saadet_partisipercent_votes,shptotal_votes,shppercent_votes,siptotal_votes,sippercent_votes,sptotal_votes,sppercent_votes,tkptotal_votes,tkppercent_votes,turk_partitotal_votes,turk_partipercent_votes,vatan_partisitotal_votes,vatan_partisipercent_votes,ydhtotal_votes,ydhpercent_votes,ydptotal_votes,ydppercent_votes,yeni_partitotal_votes,yeni_partipercent_votes,ytptotal_votes,ytppercent_votes,yurtptotal_votes,yurtppercent_votes,bgmztotal_votes,bgmzpercent_votes,city,aptotal_votes,appercent_votes,birlik_partisitotal_votes,birlik_partisipercent_votes,cgptotal_votes,cgppercent_votes,ckmptotal_votes,ckmppercent_votes,cmptotal_votes,cmppercent_votes,demokratik_partitotal_votes,demokratik_partipercent_votes,gptotal_votes,gppercent_votes,hurriyet_partisitotal_votes,hurriyet_partisipercent_votes,msptotal_votes,msppercent_votes,tbptotal_votes,tbppercent_votes,tiptotal_votes,tippercent_votes,vptotal_votes,vppercent_votes,ytp_total_votes,ytp_percent_votes
1983,19767366.0,18238362.0,92.3,17351510.0,,17351510.0,399.0,,,,,7833148.0,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5285804.0,30.5,,,,,,,,,,,,,,,,,4036970.0,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195588.0,1.1,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1681336.0,1468770.0,87.4,1435890.0,44461.0,1480351.0,16.0,517530.0,35.0,,,,,,,,,,,,,431675.0,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108479.0,7.3,,,,,,,3187.0,0.2,,,,,,,250294.0,16.9,,,,,,,,,,,149777.0,10.1,,,,,,,,,14207.0,1.0,,,,,,,,,,,3917.0,0.3,,,,,,,,,,,1285.0,0.1,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_1,1588111.0,1374359.0,86.5,1356159.0,37429.0,1393588.0,14.0,581391.0,41.7,,,,,,,6469.0,0.5,,,1351.0,0.1,458023.0,32.9,,,,,,,2694.0,0.2,736.0,0.1,,,13.0,0.0,,,,,,,,,3659.0,0.3,,,,,82179.0,5.9,,,2499.0,0.2,,,,,,,,,,,,,770.0,0.1,838.0,0.1,,,,,,,241490.0,17.3,673.0,0.0,,,,,,,6469.0,0.5,,,,,,,,,,,4334.0,0.3,,,,,,,,,,,0.0,0.0,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_2,1568153.0,1333719.0,85.1,1306778.0,30162.0,1336940.0,14.0,471695.0,35.3,947.0,0.1,,,,,,,,,2619.0,0.2,434272.0,32.5,,,,,,,2706.0,0.2,2261.0,0.2,,,1352.0,0.1,,,,,,,,,2380.0,0.2,17.0,0.0,,,96765.0,7.2,,,1541.0,0.1,,,,,,,,,,,,,471.0,0.0,1178.0,0.1,,,,,663.0,0.0,289954.0,21.7,589.0,0.0,,,,,,,17557.0,1.3,,,,,,,,,26.0,0.0,6439.0,0.5,,,,,,,,,5.0,0.0,3503.0,0.3,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1389196.0,1200592.0,86.4,1174625.0,3459.0,1178084.0,14.0,462963.0,39.3,,,,,,,6235.0,0.5,,,,,391400.0,33.2,,,,,,,9777.0,0.8,2949.0,0.3,,,3394.0,0.3,0.0,0.0,,,,,,,,,,,7081.0,0.6,,,4291.0,0.4,,,,,,,,,,,,,,,,,547.0,0.0,,,,,,,245901.0,20.9,2637.0,0.2,1510.0,0.1,,,,,9533.0,0.8,,,,,,,1684.0,0.1,,,,,,,,,,,,,,,28182.0,2.4,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1088979.0,918746.0,84.4,894543.0,5653.0,900196.0,13.0,306269.0,34.0,,,,,,,,,,,2840.0,0.3,261766.0,29.1,,,,,,,88593.0,9.8,,,,,,,,,,,19593.0,2.2,,,,,,,,,,,,,,,,,,,5331.0,0.6,,,3591.0,0.4,,,,,1319.0,0.2,,,,,,,179734.0,20.0,,,,,1590.0,0.2,,,11813.0,1.3,,,,,,,1667.0,0.2,,,,,,,,,,,,,,,16090.0,1.8,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1019624.0,784645.0,77.0,752010.0,2854.0,754864.0,13.0,159733.0,21.2,,,67970.0,9.0,,,4310.0,0.6,,,1325.0,0.2,233463.0,30.9,,,20971.0,2.8,,,,,5781.0,0.8,,,110696.0,14.7,,,,,41523.0,5.5,,,,,,,,,,,,,,,,,,,,,,,3434.0,0.5,,,,,1719.0,0.2,,,,,,,78264.0,10.4,2051.0,0.3,,,2184.0,0.3,,,7686.0,1.0,,,,,,,1240.0,0.2,,,,,,,,,,,6631.0,0.9,5426.0,0.7,457.0,0.1,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,917784.0,783529.0,85.4,748615.0,1445.0,750060.0,12.0,,,,,98676.0,13.2,,,4868.0,0.6,2217.0,0.3,,,92570.0,12.3,,,,,731.0,0.1,3154.0,0.4,151058.0,20.1,3912.0,0.5,144575.0,19.3,986.0,0.1,46902.0,6.3,,,18604.0,2.5,,,,,,,,,,,,,,,,,,,,,1580.0,0.2,,,,,3304.0,0.4,,,,,,,166914.0,22.3,2197.0,0.3,,,5940.0,0.8,,,,,,,1043.0,0.1,,,,,,,,,,,732.0,0.1,,,,,,,97.0,0.0,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,744876.0,641419.0,86.1,625059.0,1931.0,626990.0,10.0,,,,,91881.0,14.6,,,,,,,,,145189.0,23.2,,,,,,,,,42702.0,6.8,,,166368.0,26.5,,,,,,,11701.0,1.9,,,,,,,,,,,,,,,,,,,,,1507.0,0.2,,,,,,,,,,,,,76545.0,12.2,2858.0,0.5,,,,,83363.0,13.3,,,,,,,,,,,,,,,2352.0,0.4,1687.0,0.3,717.0,0.1,,,,,120.0,0.0,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,587541.0,511899.0,87.1,498641.0,924.0,499565.0,9.0,,,,,100431.0,20.1,,,,,,,,,,,,,,,,,,,20839.0,4.2,,,216096.0,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44129.0,8.8,,,115693.0,23.2,,,2377.0,0.5,,,,,,,,,,,,,,,,,,,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
