year,registered_voter,turnout,percent_turnout,valid_vote,num_milletvekili,toplam_gecerli_oy_sayisi,milletvekili_sayisi,ak_partitotal_votes,ak_partipercent_votes,anadolu_partisitotal_votes,anadolu_partisipercent_votes,anaptotal_votes,anappercent_votes,atptotal_votes,atppercent_votes,bbptotal_votes,bbppercent_votes,bptotal_votes,bppercent_votes,btptotal_votes,btppercent_votes,chptotal_votes,chppercent_votes,dbptotal_votes,dbppercent_votes,dehaptotal_votes,dehappercent_votes,departotal_votes,deparpercent_votes,dptotal_votes,dppercent_votes,dsptotal_votes,dsppercent_votes,dtptotal_votes,dtppercent_votes,dyptotal_votes,dyppercent_votes,emeptotal_votes,emeppercent_votes,fptotal_votes,fppercent_votes,genc_partitotal_votes,genc_partipercent_votes,hadeptotal_votes,hadeppercent_votes,hakpartotal_votes,hakparpercent_votes,haptotal_votes,happercent_votes,has_partitotal_votes,has_partipercent_votes,hdptotal_votes,hdppercent_votes,hepartotal_votes,heparpercent_votes,hkptotal_votes,hkppercent_votes,hptotal_votes,hppercent_votes,huda_partotal_votes,huda_parpercent_votes,hyptotal_votes,hyppercent_votes,idptotal_votes,idppercent_votes,iptotal_votes,ippercent_votes,iyi_partitotal_votes,iyi_partipercent_votes,kptotal_votes,kppercent_votes,ldptotal_votes,ldppercent_votes,mcptotal_votes,mcppercent_votes,mdptotal_votes,mdppercent_votes,meptotal_votes,meppercent_votes,mhptotal_votes,mhppercent_votes,millet_partisitotal_votes,millet_partisipercent_votes,mmptotal_votes,mmppercent_votes,odptotal_votes,odppercent_votes,rptotal_votes,rppercent_votes,saadet_partisitotal_votes,saadet_partisipercent_votes,shptotal_votes,shppercent_votes,siptotal_votes,sippercent_votes,sptotal_votes,sppercent_votes,tkptotal_votes,tkppercent_votes,turk_partitotal_votes,turk_partipercent_votes,vatan_partisitotal_votes,vatan_partisipercent_votes,ydhtotal_votes,ydhpercent_votes,ydptotal_votes,ydppercent_votes,yeni_partitotal_votes,yeni_partipercent_votes,ytptotal_votes,ytppercent_votes,yurtptotal_votes,yurtppercent_votes,bgmztotal_votes,bgmzpercent_votes,city,aptotal_votes,appercent_votes,birlik_partisitotal_votes,birlik_partisipercent_votes,cgptotal_votes,cgppercent_votes,ckmptotal_votes,ckmppercent_votes,cmptotal_votes,cmppercent_votes,demokratik_partitotal_votes,demokratik_partipercent_votes,gptotal_votes,gppercent_votes,hurriyet_partisitotal_votes,hurriyet_partisipercent_votes,msptotal_votes,msppercent_votes,tbptotal_votes,tbppercent_votes,tiptotal_votes,tippercent_votes,vptotal_votes,vppercent_votes,ytp_total_votes,ytp_percent_votes
2018,1023389.0,856317.0,83.7,826242.0,25582.0,851824.0,12.0,182763.0,21.5,,,,,,,,,,,,,21306.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558601.0,65.6,,,,,,,32.0,0.0,,,,,,,23860.0,2.8,,,,,,,,,,,11981.0,1.4,,,,,,,,,14303.0,1.7,,,,,,,,,,,1223.0,0.1,,,,,,,,,,,37755.0,4.4,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_1,958170.0,814937.0,85.1,791401.0,21842.0,813243.0,11.0,181456.0,22.3,,,,,,,2777.0,0.3,,,515.0,0.1,15921.0,2.0,,,,,,,315.0,0.0,222.0,0.0,,,8.0,0.0,,,,,,,,,1304.0,0.2,,,,,580294.0,71.4,,,2119.0,0.3,,,,,,,,,,,,,798.0,0.1,28.0,0.0,,,,,,,6520.0,0.8,218.0,0.0,,,,,,,2200.0,0.3,,,,,,,,,,,311.0,0.0,,,,,,,,,,,18237.0,2.2,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_2,949859.0,825403.0,86.9,805652.0,18594.0,824246.0,11.0,122031.0,14.8,330.0,0.0,,,,,,,,,1473.0,0.2,10830.0,1.3,,,,,,,379.0,0.0,629.0,0.1,,,23.0,0.0,,,,,,,,,1912.0,0.2,11.0,0.0,,,640689.0,77.7,,,1024.0,0.1,,,,,,,,,,,,,127.0,0.0,8.0,0.0,,,,,5.0,0.0,10213.0,1.2,197.0,0.0,,,,,,,4160.0,0.5,,,,,,,,,1688.0,0.2,627.0,0.1,,,,,,,,,3.0,0.0,27887.0,3.4,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,867711.0,705091.0,81.3,678459.0,905.0,679364.0,11.0,218552.0,32.2,,,,,,,6999.0,1.0,,,,,15882.0,2.3,,,,,,,1985.0,0.3,1271.0,0.2,,,705.0,0.1,0.0,0.0,,,,,,,,,,,3454.0,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,5733.0,0.8,741.0,0.1,571.0,0.1,,,,,2941.0,0.4,,,,,,,1435.0,0.2,,,,,,,,,,,,,,,419095.0,61.7,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,675192.0,479617.0,71.0,465708.0,1788.0,467496.0,10.0,191214.0,40.9,,,,,,,,,,,1649.0,0.4,9407.0,2.0,,,,,,,24381.0,5.2,,,,,,,,,,,1434.0,0.3,,,,,,,,,,,,,,,,,,,2690.0,0.6,,,614.0,0.1,,,,,,,,,,,,,11431.0,2.5,,,,,518.0,0.1,,,3248.0,0.7,,,,,,,1131.0,0.2,,,,,,,,,,,,,,,219779.0,47.0,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,615103.0,437595.0,71.1,420430.0,1250.0,421680.0,10.0,67298.0,16.0,,,17056.0,4.0,,,2784.0,0.7,,,1215.0,0.3,24963.0,5.9,,,236689.0,56.1,,,,,4829.0,1.1,,,30330.0,7.2,,,,,7323.0,1.7,,,,,,,,,,,,,,,,,,,,,,,696.0,0.2,,,,,614.0,0.1,,,,,,,6415.0,1.5,1017.0,0.2,,,791.0,0.2,,,9691.0,2.3,,,,,,,490.0,0.1,,,,,,,,,,,1865.0,0.4,1903.0,0.5,5711.0,1.4,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,546722.0,434201.0,79.4,406455.0,578.0,407033.0,11.0,,,,,45307.0,11.1,,,4162.0,1.0,2136.0,0.5,,,12273.0,3.0,1922.0,0.5,,,753.0,0.2,3790.0,0.9,20265.0,5.0,7419.0,1.8,45527.0,11.2,552.0,0.1,59310.0,14.6,,,186808.0,45.9,,,,,,,,,,,,,,,,,,,,,781.0,0.2,,,,,1121.0,0.3,,,,,,,11217.0,2.8,1306.0,0.3,,,,,,,,,,,729.0,0.2,,,,,,,,,,,1090.0,0.3,,,,,,,565.0,0.1,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,449962.0,342820.0,76.2,328973.0,1016.0,329989.0,10.0,,,,,45612.0,13.8,,,,,,,,,6501.0,2.0,,,,,,,,,8643.0,2.6,,,35754.0,10.8,,,,,,,152803.0,46.3,,,,,,,,,,,,,,,,,,,,,731.0,0.2,,,,,,,,,,,,,6443.0,2.0,1746.0,0.5,,,,,62049.0,18.8,,,,,,,,,,,,,,,5188.0,1.6,2344.0,0.7,555.0,0.2,,,,,1620.0,0.5,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,406477.0,315964.0,77.7,300114.0,557.0,300671.0,8.0,,,,,42068.0,14.0,,,,,,,,,,,,,,,,,,,7779.0,2.6,,,60053.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36238.0,12.0,,,149955.0,49.9,,,1619.0,0.5,,,,,,,,,,,,,,,,,2959.0,1.0,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,342646.0,311979.0,91.0,297399.0,597.0,297996.0,8.0,,,,,68333.0,22.9,,,,,,,,,,,,,,,,,,,27898.0,9.4,,,39597.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.0,0.6,,,,,,,,,2028.0,0.7,,,,,,,,,,,,,72925.0,24.5,,,76074.0,25.5,,,,,,,,,,,,,,,,,,,,,9185.0,3.1,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,239802.0,198232.0,82.7,179019.0,,179019.0,7.0,,,,,58557.0,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75217.0,42.0,,,,,,,,,,,,,,,,,45245.0,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1503411.0,1341859.0,89.3,1312952.0,40653.0,1353605.0,15.0,804146.0,59.4,,,,,,,,,,,,,130962.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50266.0,3.7,,,,,,,2838.0,0.2,,,,,,,121356.0,9.0,,,,,,,,,,,209722.0,15.5,,,,,,,,,31614.0,2.3,,,,,,,,,,,2105.0,0.2,,,,,,,,,,,596.0,0.0,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_1,1436847.0,1276934.0,88.9,1259019.0,34749.0,1293768.0,14.0,957770.0,74.0,,,,,,,7019.0,0.5,,,924.0,0.1,121209.0,9.4,,,,,,,1597.0,0.1,513.0,0.0,,,12.0,0.0,,,,,,,,,2114.0,0.2,,,,,40094.0,3.1,,,2019.0,0.2,,,,,,,,,,,,,634.0,0.0,487.0,0.0,,,,,,,146050.0,11.3,535.0,0.0,,,,,,,11461.0,0.9,,,,,,,,,,,1330.0,0.1,,,,,,,,,,,0.0,0.0,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_2,1430306.0,1246020.0,87.1,1220145.0,28162.0,1248307.0,14.0,812578.0,65.1,421.0,0.0,,,,,,,,,1976.0,0.2,123675.0,9.9,,,,,,,1848.0,0.1,2705.0,0.2,,,915.0,0.1,,,,,,,,,2182.0,0.2,16.0,0.0,,,56488.0,4.5,,,2185.0,0.2,,,,,,,,,,,,,205.0,0.0,12.0,0.0,,,,,561.0,0.0,203003.0,16.3,595.0,0.0,,,,,,,36818.0,2.9,,,,,,,,,24.0,0.0,1822.0,0.1,,,,,,,,,5.0,0.0,273.0,0.0,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1346215.0,1185237.0,88.0,1159940.0,3789.0,1163729.0,14.0,810396.0,69.6,,,,,,,14747.0,1.3,,,,,118935.0,10.2,,,,,,,6734.0,0.6,1970.0,0.2,,,0.0,0.0,0.0,0.0,,,,,,,,,,,13231.0,1.1,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,152633.0,13.1,1492.0,0.1,1155.0,0.1,,,,,25328.0,2.2,,,,,,,1504.0,0.1,,,,,,,,,,,,,,,15604.0,1.3,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1184757.0,1030670.0,87.0,1004227.0,7244.0,1011471.0,16.0,660583.0,65.3,,,,,,,,,,,5409.0,0.5,82482.0,8.2,,,,,,,59840.0,5.9,,,,,,,,,,,6291.0,0.6,,,,,,,,,,,,,,,,,,,5259.0,0.5,,,2631.0,0.3,,,,,,,,,,,,,131571.0,13.0,,,,,1352.0,0.1,,,44528.0,4.4,,,,,,,2298.0,0.2,,,,,,,,,,,,,,,9227.0,0.9,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1103009.0,919408.0,83.4,884416.0,3219.0,887635.0,16.0,487700.0,54.9,,,36247.0,4.1,,,8370.0,0.9,,,2904.0,0.3,76314.0,8.6,,,27941.0,3.1,,,,,5701.0,0.6,,,64660.0,7.3,,,,,26122.0,2.9,,,,,,,,,,,,,,,,,,,,,,,2736.0,0.3,,,,,1732.0,0.2,,,,,,,83944.0,9.5,2118.0,0.2,,,1334.0,0.2,,,42412.0,4.8,,,,,,,814.0,0.1,,,,,,,,,,,5047.0,0.6,3628.0,0.4,7911.0,0.9,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1018792.0,929784.0,91.3,892298.0,1984.0,894282.0,16.0,,,,,64282.0,7.2,,,18944.0,2.1,,,,,47297.0,5.3,1321.0,0.1,,,715.0,0.1,1849.0,0.2,95477.0,10.7,3559.0,0.4,123928.0,13.9,637.0,0.1,269793.0,30.2,,,21883.0,2.4,,,,,,,,,,,,,,,,,,,,,1456.0,0.2,,,,,1820.0,0.2,,,,,,,232513.0,26.0,3392.0,0.4,,,2550.0,0.3,,,,,,,1084.0,0.1,,,,,,,,,,,1129.0,0.1,,,,,,,653.0,0.1,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,948871.0,838736.0,88.4,810415.0,2503.0,812918.0,16.0,,,,,108234.0,13.3,,,,,,,,,47808.0,5.9,,,,,,,,,68525.0,8.4,,,116767.0,14.4,,,,,,,20329.0,2.5,,,,,,,,,,,,,,,,,,,,,1922.0,0.2,,,,,,,,,,,,,97510.0,12.0,4864.0,0.6,,,,,339278.0,41.7,,,,,,,,,,,,,,,3248.0,0.4,2329.0,0.3,943.0,0.1,,,,,1161.0,0.2,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,802151.0,732057.0,91.3,706506.0,1310.0,707816.0,13.0,,,,,137521.0,19.4,,,,,,,,,,,,,,,,,,,50831.0,7.2,,,188139.0,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233812.0,33.0,,,94189.0,13.3,,,2964.0,0.4,,,,,,,,,,,,,,,,,360.0,0.1,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,860156.0,819816.0,95.3,798013.0,1599.0,799612.0,14.0,,,,,307075.0,38.4,,,,,,,,,,,,,,,,,,,53094.0,6.6,,,136721.0,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,9503.0,1.2,,,,,,,,,37161.0,4.7,,,,,,,,,,,,,120259.0,15.0,,,135643.0,17.0,,,,,,,,,,,,,,,,,,,,,156.0,0.0,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,648304.0,604385.0,93.2,573967.0,,573967.0,13.0,,,,,324705.0,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124735.0,21.7,,,,,,,,,,,,,,,,,111285.0,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13242.0,2.3,konya,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,337740.0,268450.0,79.5,257532.0,7.0,,,,,,,,,,,,,,,,,87944.0,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10898.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,0.0,antalya,139354.0,54.1,,,4280.0,1.7,,,,,6032.0,2.3,,,,,7962.0,3.1,933.0,0.4,,,,,,
1973,268582.0,172619.0,64.2,162741.0,7.0,,,,,,,,,,,,,,,,,48019.0,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6628.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,0.2,antalya,63736.0,39.2,,,5615.0,3.4,,,,,27653.0,17.0,,,,,9098.0,5.6,1720.0,1.0,,,,,,
1969,233253.0,150629.0,64.5,143723.0,7.0,,,,,,,,,,,,,,,,,35734.0,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5034.0,3.5,1237.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,antalya,87351.0,60.8,3840.0,2.7,,,,,,,,,8386.0,5.8,,,,,,,2134.0,1.5,,,,
1965,213453.0,146247.0,68.5,139213.0,7.0,,,,,,,,,,,,,,,,,35808.0,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4162.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,0.1,antalya,92690.0,66.6,,,,,2915.0,2.1,,,,,,,,,,,,,3468.0,2.5,,,,
1961,193416.0,154735.0,80.0,148237.0,7.0,,,,,,,,,,,,,,,,,51952.0,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antalya,90614.0,61.1,,,,,5560.0,3.8,,,,,,,,,,,,,,,,,,
1957,175402.0,130386.0,74.3,,9.0,,,,,,,,,,,,,,,,,52358.0,40.7,,,,,,,65698.0,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antalya,,,,,,,,,1419.0,1.1,,,,,9065.0,7.1,,,,,,,,,,
1954,152582.0,131992.0,86.5,,8.0,,,,,,,,,,,,,,,,,46824.0,35.9,,,,,,,82337.0,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4751.0,0.9,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,129517.0,113312.0,87.5,,7.0,,,,,,,,,,,,,,,,,37025.0,35.3,,,,,,,67867.0,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antalya,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,290056.0,192885.0,66.5,186651.0,7.0,,,,,,,,,,,,,,,,,64991.0,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31824.0,17.0,diyarbakir,48694.0,26.1,,,876.0,0.5,,,,,2102.0,1.1,,,,,33324.0,17.9,,,2805.0,1.5,,,,
1973,232364.0,154645.0,66.5,148667.0,7.0,,,,,,,,,,,,,,,,,45264.0,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4496.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14059.0,10.4,diyarbakir,30822.0,19.9,,,8294.0,5.6,,,,,18176.0,12.2,,,,,27566.0,18.5,,,,,,,,
1969,201474.0,126097.0,62.5,121003.0,7.0,,,,,,,,,,,,,,,,,8825.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.0,0.8,9592.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19801.0,16.4,diyarbakir,42934.0,35.5,,,,,,,,,,,3654.0,3.0,,,,,,,3330.0,2.7,,,31947.0,26.4
1965,181066.0,116391.0,64.3,110756.0,7.0,,,,,,,,,,,,,,,,,25695.0,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12993.0,11.7,diyarbakir,31936.0,28.8,,,,,3799.0,3.4,,,,,,,,,,,,,8867.0,8.0,,,25599.0,23.1
1961,166637.0,126841.0,76.1,121653.0,7.0,,,,,,,,,,,,,,,,,39857.0,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diyarbakir,23401.0,19.2,,,,,6331.0,5.2,,,,,,,,,,,,,,,,,52012.0,42.8
1957,168692.0,114471.0,66.1,,9.0,,,,,,,,,,,,,,,,,33820.0,30.1,,,,,,,56309.0,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diyarbakir,,,,,,,,,900.0,0.8,,,,,22466.0,20.0,,,,,,,,,,
1954,132535.0,122955.0,92.8,,8.0,,,,,,,,,,,,,,,,,42333.0,35.7,,,,,,,72907.0,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3389.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0,0.1,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,114487.0,103246.0,90.2,,7.0,,,,,,,,,,,,,,,,,48000.0,47.2,,,,,,,53691.0,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,957630.0,751509.0,78.5,727826.0,19.0,,,,,,,,,,,,,,,,,383333.0,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12042.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.0,0.1,izmir,288645.0,39.7,,,7603.0,1.0,,,,,10304.0,1.4,,,,,21389.0,2.9,2309.0,0.3,1710.0,0.2,,,,
1973,783930.0,527371.0,67.3,509235.0,18.0,,,,,,,,,,,,,,,,,224332.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5508.0,1.1,1456.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171.0,0.2,izmir,199971.0,39.3,,,12051.0,2.4,,,,,40271.0,7.9,,,,,21333.0,4.2,3142.0,0.6,,,,,,
1969,632132.0,401581.0,63.5,387272.0,18.0,,,,,,,,,,,,,,,,,136071.0,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4319.0,1.1,4201.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.0,0.4,izmir,206198.0,53.2,6225.0,1.6,,,,,,,,,15050.0,3.9,,,,,,,11085.0,2.9,,,2482.0,0.7
1965,578762.0,418993.0,72.4,403948.0,17.0,,,,,,,,,,,,,,,,,120337.0,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11461.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0,0.2,izmir,251189.0,62.2,,,,,4371.0,1.1,,,,,,,,,,,,,15840.0,3.9,,,,
1961,547336.0,450748.0,82.4,439266.0,17.0,,,,,,,,,,,,,,,,,174014.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3409.0,0.8,izmir,241753.0,55.0,,,,,13456.0,3.1,,,,,,,,,,,,,,,,,6388.0,1.5
1957,516672.0,398150.0,77.1,,22.0,,,,,,,,,,,,,,,,,166661.0,40.8,,,,,,,217677.0,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,izmir,,,,,,,,,4814.0,1.2,,,,,8768.0,2.3,,,,,,,69.0,0.0,,
1954,427130.0,381024.0,89.2,,20.0,,,,,,,,,,,,,,,,,145871.0,38.8,,,,,,,230522.0,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,izmir,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,370282.0,321575.0,86.8,,17.0,,,,,,,,,,,,,,,,,137622.0,41.4,,,,,,,188476.0,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6038.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,izmir,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3227032.0,2880930.0,89.3,2827997.0,87567.0,2915564.0,28.0,836581.0,28.7,,,,,,,,,,,,,1204370.0,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334974.0,11.5,,,,,,,4835.0,0.2,,,,,,,317092.0,10.9,,,,,,,,,,,183312.0,6.3,,,,,,,,,23266.0,0.8,,,,,,,,,,,9182.0,0.3,,,,,,,,,,,1952.0,0.1,izmir,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_1,3104343.0,2735354.0,88.1,2704306.0,74643.0,2778949.0,26.0,881050.0,31.7,,,,,,,10412.0,0.4,,,2301.0,0.1,1276794.0,45.9,,,,,,,4282.0,0.2,2516.0,0.1,,,553.0,0.0,,,,,,,,,7181.0,0.3,,,,,247239.0,8.9,,,3722.0,0.1,,,,,,,,,,,,,2194.0,0.1,2060.0,0.1,,,,,,,312382.0,11.2,1143.0,0.0,,,,,,,10232.0,0.4,,,,,,,,,,,14888.0,0.5,,,,,,,,,,,0.0,0.0,izmir,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_2,3085404.0,2697497.0,87.4,2647364.0,61105.0,2708469.0,26.0,724772.0,26.8,3198.0,0.1,,,,,,,,,5388.0,0.2,1212681.0,44.8,,,,,,,4207.0,0.2,4975.0,0.2,,,1174.0,0.0,,,,,,,,,2483.0,0.1,968.0,0.0,,,285609.0,10.5,,,2768.0,0.1,,,,,,,,,,,,,1265.0,0.0,1764.0,0.1,,,,,884.0,0.0,368724.0,13.6,833.0,0.0,,,,,,,29775.0,1.1,,,,,,,,,4057.0,0.1,23718.0,0.9,,,,,,,,,680.0,0.0,28546.0,1.1,izmir,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2906224.0,2567533.0,88.3,2505674.0,7447.0,2513121.0,26.0,924281.0,36.8,,,,,,,8362.0,0.3,,,,,1097886.0,43.7,,,,,,,18504.0,0.7,6954.0,0.3,,,4163.0,0.3,0.0,0.0,,,,,,,,,,,7589.0,0.3,,,17046.0,0.7,,,,,,,,,,,,,,,,,1075.0,0.0,,,,,,,283590.0,11.3,5457.0,0.2,1829.0,0.1,,,,,11386.0,0.5,,,,,,,4202.0,0.2,,,,,,,,,,,,,,,120797.0,4.8,izmir,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2528035.0,2143619.0,84.8,2075138.0,12770.0,2087908.0,24.0,636826.0,30.5,,,,,10155.0,0.5,,,,,9022.0,0.4,740269.0,35.5,,,,,,,108359.0,5.2,,,,,,,,,,,156551.0,7.5,,,,,,,,,,,,,,,,,,,10905.0,0.5,,,12092.0,0.6,,,,,2674.0,0.1,,,,,,,289800.0,13.9,,,,,5055.0,0.2,,,18420.0,0.9,,,,,,,4978.0,0.2,,,,,,,,,,,,,,,82802.0,4.0,izmir,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2423285.0,1939885.0,80.1,1867866.0,6953.0,1874819.0,24.0,321865.0,17.2,,,78897.0,4.2,,,10796.0,0.6,,,5868.0,0.3,544862.0,29.1,,,97067.0,5.2,,,,,30701.0,1.6,,,174838.0,9.3,,,,,328338.0,17.5,,,,,,,,,,,,,,,,,,,,,,,16201.0,0.9,,,,,6953.0,0.4,,,,,,,146155.0,7.8,3108.0,0.2,,,10722.0,0.6,,,15568.0,0.8,,,,,,,6060.0,0.3,,,,,,,,,,,59674.0,3.2,16421.0,0.9,725.0,0.0,izmir,,,,,,,,,,,,,,,,,,,,,,,,,,
