city,year,registered_voters,turnout,valid_vote,saadet partisi,btp,tkp,vatan partisi,chp,ak parti,dp,mhp,iyi parti,hdp,dsp,bgmz,anap,ldp,dtp,ip,hakpar,bbp,bdp,millet partisi,odp,emep,hyp,dyp,rp,sbp,shp,ydp,bagimsizlar,baskanlik sayisi,atp,genc parti,ytp,huda par,a.p.,turk parti,hkp,myp,yurtp,hepar,bp,dbp,dehap,depar,fp,hadep,sip,BAĞIMSIZLAR_vote,bagimsizlar_percent,percent_turnout,ANAP_vote,anap_percent,DSP_vote,dsp_percent,DYP_vote,dyp_percent,IDP_vote,idp_percent,MÇP_vote,mcp_percent,RP_vote,rp_percent,SHP_vote,shp_percent,prev_year,winner,prev_winner,swing,election_type,anadolu partisi,hap,has parti,hp,idp,kp,mcp,mdp,mep,mmp,sp,ydh,yeni parti,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp ,event,event_bool,cyprus,earthquake,kurdish,refugee
gaziantep,2019,1227454.0,966758.0,917080.0,17359.0,4125.0,2345.0,3179.0,0.0,494906.0,0.0,0.0,150831.0,0.0,240313.0,4022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7876124074710743,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
hatay,2019,1067817.0,913730.0,888857.0,7547.0,1140.0,818.0,1829.0,490431.0,380455.0,0.0,0.0,0.0,0.0,6213.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8556990570481646,,,,,,,,,,,,,,,2014.0,chp,chp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
icel,2019,1281570.0,1094234.0,1057902.0,7202.0,1939.0,2187.0,3998.0,477020.0,0.0,127168.0,433669.0,0.0,0.0,4719.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8538230451711573,,,,,,,,,,,,,,,2014.0,chp,mhp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
istanbul,2019,10560963.0,8925166.0,8746566.0,47832.0,0.0,0.0,13962.0,4742082.0,3936068.0,0.0,0.0,0.0,0.0,0.0,6622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8451091060540596,,,,,,,,,,,,,,,2014.0,chp,akp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
izmir,2019,3250780.0,2740742.0,2667297.0,30180.0,3956.0,8061.0,7963.0,1550192.0,1032359.0,11209.0,0.0,0.0,0.0,20509.0,2868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8431028860765724,,,,,,,,,,,,,,,2014.0,chp,chp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
kayseri,2019,956149.0,820938.0,789750.0,21688.0,4031.0,1361.0,2380.0,0.0,500621.0,0.0,0.0,248947.0,4542.0,3218.0,2962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8585879397457927,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
kocaeli,2019,1349480.0,1151218.0,1098319.0,54640.0,4692.0,3470.0,2827.0,0.0,610507.0,6143.0,0.0,359060.0,41870.0,10876.0,4234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8530826688798648,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
konya,2019,1521399.0,1285194.0,1218037.0,50099.0,8623.0,3690.0,3423.0,0.0,859115.0,5647.0,0.0,245997.0,26589.0,6486.0,8368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8447448696890165,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
malatya,2019,561708.0,464819.0,446292.0,23709.0,1482.0,625.0,618.0,103690.0,305588.0,1651.0,0.0,0.0,6555.0,1345.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8275100230012746,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
manisa,2019,1052970.0,933133.0,873021.0,10098.0,4290.0,2888.0,3853.0,0.0,0.0,12014.0,460671.0,332338.0,37919.0,6626.0,2324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8861914394522161,,,,,,,,,,,,,,,2014.0,mhp,mhp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
